,predicted,case_number,category
545,"видеоролик под названием «скин-герлы», размещенный в социальной сети « » сети интернет, имеющий сетевой адрес https://vk.com/id214998889 (",1,
546,"видеоролик под названием «русские хулиганы», размещенный на интернет - странице http://vkontakte.ru/ariec_89, на интернет сайте www. vkontakte.ru (",1,
547,"видеоролик под названием «парни и девушки славянского союза», размещенный на интернет - странице http://vkontakte.ru/ariec_89, на интернет сайте www. vkontakte.ru (",1,
548,"аудиозапись продолжительностью от 2 мин. 31 сек. до 2 мин. 38 сек. под названием «ббпе» исполнителя «the xynta», начинающаяся со слов «в самый полный штиль и в самый сильный ураган», заканчивающаяся «... что называется ббпе» (",1,
549,видеоролик под названием «на пророческом пути» продолжительностью 36 минут 07 секунд (,1,
550,"видеоролик под названием «vlazz йорш-а.с.а.в.», размещенный в социальной сети « » сети интернет, имеющий сетевой адрес https://vk.com/id147996056 (",1,
551,"видеоролик исполнителя «holdaar», наименование текста песни «последнее право» (первые слова песни на 39 секунде: «давно зовут»; последние слова песни на 02 минуте 52 секунде: «право на фашизм») длительностью 03 минуты 21 секунда (",1,
552,"видеоролик исполнителя - «tnf», наименование текста песни - «скажи россии» (первые слова песни на 31 секунде: «где пробегал»; последние слова песни на 04 минуте 21 секунде: «вместе брат») длительностью 04 минуты 32 секунды (",1,
553,"видеоролик «коловрат - кровь патриотов (blood of patriots)», размещенный в сети «интернет» (",1,
554,"видеоролик «те, кто против скинхедов, смотрите!» (http://vk.com/video89508789_161594795), продолжительностью 16 мин. 44 сек., демонстрирующий казнь людей (",1,
555,"видеоролик «слава россии. вандал – судьба моей расы!!!», размещенный в социальной сети « » (http://vk.com/videos235059886?section=all&z= video235059886_166855385%2falbum235059886%2fpl_235059886) информационно-телекоммуникационной сети интернет (",1,
556,видеоролик «скини против чурок» (,1,
557,"видеоролик «русь проснись», размещенный на интернет-странице id70272149 интернет-сайта www.vkontakte.ru (",1,
558,"видеоролик «рус, проснись», видеоролик «вот почему мы убиваем скинов», размещенные в сети «интернет» на сайте «vkontakte.ru» (vk.com) по электронному адресу: http:// vk.com id23100146 (",1,
559,"видеоролик «раскрыт заговор исламистов в медуниверситете», размещенный в социальной сети « » боковым дмитрием владимировичем по адресу http://vk.com/id40892599 (",1,
560,"видеоролик «приказ амира имарата кавказ докку абу усмана по вопросу о статусе гражданского населения россии», продолжительностью 4 минуты 03 секунды, начинающийся со слов «хвала аллаху…» и заканчивающийся словами «слава аллаху.», расположенный по электронному адресу: http://www.youtube.com/watch?v=xyvkk0c4evy (",1,
561,"видеоролик «привет, чурки» (",1,
562,видеоролик «почему они обвиняют хизб-ут-тахрир в экстремизме?»),1,
563,"видеоролик «отправление на джихад в сирию | шейх усман аль-хамис», продолжительностью около 02 мин. 22 сек. (",1,
564,"видеоролик «нашид брат, ты свободен!» (перевод), видеоролик «нашид йеменских моджахедов акап посвященный сирийскому джабхад ан-нусра» (перевод), размещенные в социальной сети « » (http:/vk.com) информационно-телекоммуникационной сети интернет на http:/com/id222297990 (",1,
565,"видеоматериал «россия для русских и по-русски», размещенный на интернет-странице по электронному адресу: http://www.odnoklassniki.ru/group/50921688334548 (",1,
566,"видеоматериал «правда про жидов», продолжительностью 5 мин. 14 сек., размещенный на интернет-странице id 24688690 интернет-сайта www.vkontakte.ru (",1,
567,"видеоролики «россия для русских», «россия для русских», «скины против кавказцев», «скины», размещенные на персональной странице матвиенко р. в. социального электронного ресурса — сайта « » в сети интернет (",1,
568,"брошюра «правительство, которое принесет рай» watch tower bible and tract society of new york, inc brooklyn, new york, u.s.a. 1993 (",1,
569,"видеозаписи: «слабонервным не смотреть чечены режут русских срочников» на указателе страницы сайта http://vk.com/video101320322_166143850, продолжительностью 16 минут 44 секунды; «ns\wp: загляните в наши глаза» на указателе страницы сайта http://vk.com/video101320322_166143698. продолжительностью 2 минуты 52 секунды; «е**ть кавказ» на указателе страницы сайта http://vk.com/video101320322_166143543. продолжительностью 4 минуты 02 секунды (",1,
570,"аудиоматериал «p.s.7.62 - бритоголовый», длительностью 02 минуты 45 секунд, начинающийся словами: «ты считаешь себя бритоголовым...» и заканчивающийся словами: «...в правых правильных руках», размещенный пользователем «николай левков» на интернет-сайте на веб сервисе сайта «vk.com» (",1,
571,"видео-файл d2a7d42541be-27514966.vk «россия без чурок!!!!!!», размещенный на электронной странице в сети интернет http://vk.com/id41735474 (",1,
572,"видео файлы, размещенные в сети «интернет» на ресурсе http://vk.com/id78779714: «скинхеды», продолжительность 02 мин. 21 сек., размещенный 02.12.2012 г.; «посадская-скинхеды», продолжительностью 01 мин. 00 сек., размещенный 02.12.2012 г.; «скины отрезают головы чуркам», продолжительностью 01 мин. 02 сек., размещенный 25.01.2013 г. (",1,
573,"брошюра шериф абдэль азым «женщина в исламе и в иудео-христианском мире (мифы и реальность)», издательство «engineering house press», учрежденное «conveying islamic message society», 37 страниц, за исключением цитат из библии, корана, танаха (",1,
574,"брошюра «яримлим из страны ямхад. москва третий рим, четвертому не бывать», изданная в городе омске (",1,
575,брошюра «что от нас требует бог?» издательство watch tower bible and tract society of pensylvania 1996 (,1,
576,"брошюра «свидетели иеговы кто они? во что они верят?» изд. watch tower bible and tract society of new york, inc international bible students association brooklyn, new york, u.s.a 2000 (",1,свидетели иеговы
577,брошюра «расовая гигиена и демографическая политика в национал-социалистической германии (биологические основы и их осмысленное применение для сохранения и приумножения нордической крови)» под издательством «русская правда» - 2000» (,1,
578,брошюра «разъяснение основ веры: заметки об истинном вероучении» (,1,
579,"брошюра «пробудитесь» за август 2009 года издательство wachtturm bible and tractat- gesellshaft der zeugen jehovas, е. v., selters/taunus.» (",1,
580,"брошюра «когда умер близкий тебе человек», © 1994, 2000 watch tower bible and tract society of pennsylvania, 32 страницы, напечатано в испании (",1,
581,"видеозапись «мы победим» продолжительностью 1 минута 44 секунды, в которой произносимый текст начинается со слов: «они объявляют нам ...» и заканчивается словами: «мы победим!», размещенная в информационно-коммуникационной сети «интернет» по адресам: https://www.youtube.com/watch?v=8cw26sv115y; http://hlamer.ru/video/189422-my_pobedim_rossiya_dlya_russkih; https://vk.com/video688165_171858213; http://portall.zp.ua/video/my-pobedim-rossija-dlja-russkikh/id-pj26fi1y5l.html (",1,
582,брошюра «ас-саляфия (правда и вымысел)» (,1,
583,"аудиофайл тимура муцураева под названием «держись, россия! мы идем!», размещенный на странице пользователя «аслан одинокий волк масхадов», расположенной в сети «интернет» по адресу: http://vk.com./id134499693 (",1,
584,"аудиофайл под названием «я рисую на асфальте – хватит чурок», размещенный в сети «интернет» по адресу: http://vk.com/audios105481419 (",1,
585,"аудиофайл под названием «биты - эй, скинхэд!», размещенный на интернет - странице http://vkontakte.ru/ariec_89, на интернет сайте www. vkontakte.ru (",1,
586,"аудиофайл под названием «биты - у скинхеда выходной», размещенный на интернет - странице http://vkontakte.ru/ariec_89, на интернет сайте www. vkontakte.ru (",1,
587,аудиофайл «около рэп – русские для русских» на сайтах:,1,
588,"аудиоматериал «русь-русь. белая раса. очень красивая песня», имеющий размер 5,89 мб (6 177 440 байт) общей продолжительностью 06 минут 25 секунд, начинающийся фразой «ночь. над русью ночь…» и заканчивающийся фразой «…отомстить кровавым шакалам, выгнать чужестранных уродов!» (",1,
589,аудиоматериал под названием «бритоголовые идут» исполнителя «террор и федор волков» (,1,
590,аудиофайл «киборг – слава россии»,1,
591,"аудиофайл «кавказ -кавказ, горячая кровь течёт.mp3»",1,
592,"аудиофайл «вандал - на штурм!» продолжительностью 4 мин. 23 сек., начинающийся словами «пока банда пархатых...» и заканчивающимся словами «...в вальхалле гимны победы с честью споем! на штурм! на штурм! на штурм!» (",1,
593,видеозапись «москва 11.12.2010. манежная площадь. клип...»,1,
594,"видеозапись «ненавидите скинхедов, а как вам это?», размещенную в информационно – телекоммуникационной сети «интернет» на сайте «вконтаке» на странице «виталий царук» (http://vk.com/id210896188)» (",1,
595,"видеоматериал «казнь нс бойцами», размещенного на интернет-сайте, имеющий электронный адрес http://vkontakte.ru (",1,
596,"видеозапись учредительной конференции сибирского державного союза – политического крыла духовно-политического движения собор руси родов славных от 23.03.2012, размещенная в сети интернет по следующим адресам: -www.russobor.com/publikaci-sobora/reportazh-s-uchreditelnoi-konferenci-sibirskogo-derzhavnogo-soyuza-23-03-2012.html, -http://www.youtube.com/watch?v=lxjvzopcmji&feature=player_embedded (",1,
597,"аудиозапись: «1488 – скинхэд – патриот россии», продолжительностью 02 минуты 32 секунды, начинающаяся со слов: «исполнилось 18 лет мне», заканчивающаяся словами: «скинхэд, скинхэд хой!» (",1,
598,"видеоматериал «вы ненавидите скинхедов. а как вам антифашисты???!!!», имеющий продолжительность 3 минуты 40 секунд резмещенные ткаченко д.а. в социальной сети « », по электронному адресу http://vkcom.ru/id1 51175-739 (",1,
599,видеоматериал «владимир высоцкий – бей жидов» размещенный в социальной сети « » информационно-телекоммуникационной сети интернет на персональной странице пользователя под именем «yurii vasilevich» по адресу: http://vk.com/id25968934 (,1,
600,"видеоматериал «артур идельбаев (сбм) встречается с басаевым», размещенный в сети интернет по электронному адресу: http://video.yandex.ra/users/farzan1248/view/1/ (",1,
601,"видеоматериал «абу усама - настало время», расположенный в социальной сети http://vk.com на личной странице пользователя под ником «бинт адам» по электронному адресу: http://vk.com/id175807873, длительностью 46 мин. 31 сек. (",1,
602,"видеоматериал «абу умар саситлинский - про шиитов и алавитов (из лекции-вместе мы сила)», продолжительностью 7 минут 14 секунд, размещенный на интернет-cайтах: - http://www.youtube.com/watch?v=ntehuwkmgi8 - http://vk.com/video234167848_170985675; - http://tubethe.com/watch/ntehuwkmgi8/abu-umar-sasitlinskijj-pro-shiitov -i-alavitov-iz-lekciivmeste-my-sila.html; - http://santiye.tv/play/ntehuwkmgi8/____________.html; - http://vidoz.pp.ua/video/0eruf9xztvl.html (",1,
603,"видеоклип под названием «вандал-смерть террористам!!! так будет с каждой черной тварью!!!» продолжительностью 2 минуты 48 (49) секунд, размещенный в международной компьютерной сети интернет на сайте социальной сети www.vkontakte.ru на электронной странице http://vk.com/club8119436 (",1,
604,"видеоклип «коктейль молотова», продолжительностью 8 мин. 58 сек, размещенный в международной компьютерной сети интернет на сайте социальной сети « » http://vk.com на странице пользователя «олег oleg семерин», ресурсу www.youtube.com (",1,
605,"видеозапись: «нашид сверкающая молния (new-2016)» продолжительностью 5 минут 11 секунд, начинающаяся со слов: «когда мы поднимем знамена, они узнают, что мы мусульмане вновь наступаем», заканчивающаяся словами: «победа может заставить плакать глаза от счастья», за исключением сур, аятов и цитат из корана (",1,
606,"видеозапись: «враги всех народов жиды», продолжительностью 3 минуты 26 секунды, начинающаяся со слов «на сердце тоска» и заканчивающаяся словами «исчадие ада- жиды», размещенная в социальной сети « » информационно-телекоммуникационной сети «интернет» на странице пользователя (http://vk.com/id215240269) (",1,
607,"видеозапись, продолжительностью 4 минуты 01 секунды, начинающаяся изображением обезьян с подписью «сход совета старейшин кавказа» и заканчивающаяся изображением двух мужчин (слева – кавказского, справа – славянского типа внешности), которая сопровождается аудиозаписью, начинающейся словами «уж ты, порушка-параня» и заканчивающейся словами «что головушка кудрява», имеющая названия «славяне… слава россии», «славяне слава руси», «славяне. слава руси! ответ кавказу! 88» (",1,
608,"видеозапись под названием «околореп откровенный фашизм», размещенная на странице пользователя сайта « » по адресу: www.vk.com/id229687944 на личной странице пользователя «александр прохоров» (",1,
609,видеозапись «ну и чё после просмотра вы будете против скинхедов?»,1,
610,"видеозапись под названием «о такфире конкретной личности шейх усеймин» и «шйех усаймин: такфир определенной личности», содержащая текст, начинающийся со слов «также как, если мы увидим неверующего», заканчивающийся «…и если он не сделает этого, то казним его», продолжительностью от 52 сек. до 01 мин. 00 сек. (",1,
611,"видеозапись под названием «как я стал скинхедом» распространенную кох и.б., 15.03.1996 года рождения, в сети интернет на персональной странице под названием «хотибор чурилин», расположенной в социальной сети « » под идентификационным номером: https://vk.com/patriot_183 (",1,
612,"видеозапись под названием «бухенвальд флава-мой друг гитлер», продолжительностью 02 минуты 20 секунд, начинающаяся словами «на нож еб...ла пархачей!...» и заканчивающаяся словами «все зае...ом, зае...ом», обнаруженная на сайте «http://www.vk.com» в учетной записи пользователя «роман константинов» (http://vk/com/r.konstantinov2014) (",1,
613,"видеозапись в файле «славянский союз», размещенная в сети интернет на сайте « » по адресу http://vk.com/id132340179 (",1,
614,"видеозапись в файле «красавцы ваще!!!!!!», размещенная в информационно-телекоммуникационной сети интернет на сайте « » по адресу http://vk.com/id132340179 (",1,
615,"видеозапись «хорсс-россия для русских-russia for russians 14-88.mр4», продолжительностью 02 минуты 06 секунд, размером 10,8 мб, расположенная по адресу: http//vk.com/video238577410?z=video238577410_ 169713823%2falbum238577410 (",1,
616,"видеозапись «хорсс - слава победе!», длительностью 02 минуты 46 секунд, размещенная в сообществе «группа хорсс» на интернет-сайте «vk.com» (",1,
617,"видеозапись «фюрер кощей опустил кавказца», продолжительностью 01 минута 18 секунд, начинающаяся с демонстрации двух людей, один из которых после нацистского приветствия (вытянутая вверх правая рука с распрямленной ладонью) встает на одно колено. второй человек говорит: «я награждаю вас...немецкий крест». во имя отца и святого немецкого ордена я назначаю вас рыцарем. сын мой, будь рыцарем, будь крепким, кавказцев с*к дави падла, дави так, бл*ь с*а» и заканчивающаяся речью одного из персонажей: «ну что, кавказ, я сидел на зоне, бл*ь, мотал срок десять лет, всех вырежу нах*й бл*ь, я топтал это г*о об вас ... », распространяемая посредством сети «интернет» на странице http://vk.com/video-42851 705165918024 на интернет-сайте http://vk.com/ (",1,
618,"видеозапись «тимур муцураев – держись россия, мы идем» длительностью 4 минуты 40 секунд, размещенная на сайте www.youtube.com по электронному адресу: http:// www.youtube.com/watch?v=511evnbreow (",1,
619,"видеозапись «россия 88 бабка бьёт хачей», длительностью 1 минута 10 секунд, размещенная на интернет-странице пользователя «максим шаров» (сетевой адрес: www.vk.com/video67591091_146051105) на сайте сети интернет (www.vk.com) (",1,
620,"видеозапись «россия 88 - русская бабулька (фрагмент)», длительностью 1 минута 11 секунд, размещенная на интернет-странице пользователя «андрей лыков» (сетевой адрес: www.vk.com/video49699627_153300653) на сайте сети интернет (www.vk.com) (",1,
621,"видеоролики «война, так война!», «муджахиды вилайят кбк ик», «нападение муджахедов на нальчик», «призыв муджахеда. имарат кавказ. вилаят кабарды», размещенные в глобальной телекоммуникационной сети интернет на сайте социальной сети «vk.com» ( ) на странице пользователя с аккаунтом - «асад чотчаев» - электронный адрес: http://vk.com/id94337226 (",1,
622,"видеофайл «p.s.7.62 – белые войны», размещенный в социальной сети « » в сети «интернет», имеющий сетевой адрес http://vk/com/id155558089 (",1,
623,"книга орей волот. крысолюди. — м: «свекрасаф», 2010. — с.608 (",1,
624,информационный материал – песня «алешаllacoste–беспредел памяти юрия волкова.docx» (,1,
625,аудиозапись «бритоголовые идут – див – «давай на рынок» (,1,
626,"информация в виде видеозаписи «сопротивление», видеофайл «сопротивление.mp4», размещенная в глобальной сети «интернет» по адресу http://vk.com/id144378855 пользователем «эдуард поздняков» (",1,
627,"информационный материал: «чувашия будет белой, или безлюдной» - текст интервью с лидером чувашских национал-социалистов, размещенный пользователем с ником vitalik12007 в 01ч.21 мин 10.12.2014 по адресу www.stroidom.com.ua строим дом-донбасс, как сохранить территории, целостность и суверенитет украины?, начинающееся словами «некоторое время назад в лесах чувашии закрепились чувашские мизантропики…» и заканчивающиеся словами «…слава белой чувашии» (",1,
628,"информационный материал: «твой выбор», размещенный в социальной сети « » по адресу: vk.com/wall-70221596?offset=140, а также по адресу: mybiblioteka.su (",1,
629,"информационный материал, поступивший с адреса электронной почты 22sud2010@gmail.ru от неизвестного лица, представляющий собой электронное письмо начинающееся словами «соотечественники!...» и заканчивающееся «...для противодействия провокациям еврейской власти против вас лично и ваших народов, как моральное и юридическое основание для ликвидации еврейских оккупационных сил на нашей территории», состоящее из 12 разделов («воззвание к русскому народу, к офицерам армии и флота, к казачеству, к русской молодежи и православному духовенству», «уничтожение армии. ликвидация военной разведки россии», «товарищи офицеры!», «разъяснение о характере тайных операций против русского народа», «война с русской молодежью», «псевдонационалисты», «война с молодежью кавказа», «организация войн и финансовый кризис», «экономический террор», «диверсионно-террористическая деятельность и психологический террор», «о разделении русского народа», «задачи бойцов народного сопротивления»)» (",1,
630,"информационный материал, опубликованный в общественно-политической газете «кубанская волна» в номере 2(2) 2009 года под названием «судьбы общественно-политических организаций карачаево-балкарского народа кбр (1990-2009 годы)», отпечатанный в оао «издательство «кавказская здравница» г. минеральные воды, тираж 999 экз. (",1,
631,"информационный материал — листовка, содержащая изображение и текст «смотри-ка, князь, какая мразь в стенах кремлевских завелась!», размещенная на интернет-сайте http:/rusprav.org/ (",1,
632,"информационный материал — листовка, содержащая изображение и текст «беспощадно разгромим и уничтожим врага!», размещенная на интернет-сайте http:/rusprav.org/ (",1,
633,"информационный материал – электронный текст под названием «информационный видеоматериал под названием «муаз. арслан мамедов. хасавюрт», размещенный в социальной сети « » (электронный адрес http:/vk.com/id146804100) (",1,
634,"информационный материал – стихотворение «письмо фюреру», начинающееся словами: «здравствуй, дорогой любимый фюрер» и заканчивающееся словами: «возвращайся! мир сошел с ума», размещенные на электронных страницах сайтов в сети «интернет»: https://bod-mod.ru/prismo-fyureru-41467; https://vk.com/topic-392931_24478424; https:/rusfalanger. livejournal.com/6951.html; https://brusilov-14.livrjournal.com/303008.html; https://hitlerolog.livegournal.com/239699.html, http://blog.i.ua/user/2151380/1312374/, https://judengegner.livejournal.com/28000/html, http://www.stihi.ru/2013/05/09/5385, https://grigoruk.livejournal.com/429607.html, https://www.gametracker.com/clan/ iodzone.de/forum.php?post=300333; http://www.diary.ru~chuh/p115644500.htm?oam; https://white-reader.livejournal.com/; https://vk.com/public153320036?w=wall-153320036_42 (",1,
635,"информационный материал – публикация (комментарий) «znatok95»: «честно говоря, после 300 лет монголов, говорить, что остался где то русский глупость поэтому их называют русскими свиньями и не только на кавказе весь мир воспринимает «русских» как свиней» (за исключением тех, кто принял ислам и отказался от идолопоклонничества), к видеоролику «хабилов м. опасаясь пыток выпрыгнул из окна здания мвд», обнаруженный и изъятый в ходе мониторинга информационно-телекоммуникационной сети интернет на сайте www.youtube.com/watch?v=xiulgohlwce (",1,
636,информационный материал – книга эдуарда дрюмона «еврейская франция» под общей редакцией в.л. миронова (,1,
637,"аудиозапись «w.c.d. и аргентина - чернильница (буратино cover)», начинающаяся словами «давай курчавенький, давай-давай. кто раздвигает ноги всем...», заканчивающаяся словами «...чернильница, давай, на костер ее, на костер ее» (",1,
638,"информационный материал – книга под названием «биография пророка, да благословит его аллах и приветствует. уроки и наставления», автора мустафа ас-сибаи, издательство аль-китаб, г. санкт-петербург, 2011. - 128 страниц, отпечатанная в типографии филиала оао «татмедиа» «пик идеал-пресс» на основании заказа р-601, за исключением цитат из корана (",1,
639,"аудиозапись «девидлейн - открытое письмо мертвой расе», размещенный бедаревым а.а. в сети «интернет» на сайте « » электронный адрес https://vk.com/id262258 (",1,
640,"информационный материал – аудиофайл песня «расист», обнаруженный в ходе мониторинга глобальной телекоммуникационной сети интернет на сайте «http://vk.com/idl53056430» под псевдонимом «женя диверсант» (",1,
641,"информационный материал – «балкария для балкарцев … и москва для них же, родимых», размещенный в глобальной телекоммуникационной сети интернет на ресурсе (сайте), расположенном по электронному адресу: www.politklub.ru, опубликованный от имени зарегистрированного 23.03.2011 на данном сайте пользователя «данила согрина» (",1,
642,"аудиозапись «евреи» ансамбля христа спасителя и мать сыра земля, расположенная по электронному адресу: https://vk.com//audios135088006?q=ансамбль%христа%20спасителя, http://myzlo.info/poisk/%d0%90%d0%bd%d1%81%d0%b0%d0%bc%d0%b1%d0%bb%d1%8c%20%d0%a5%d1%80%d0%b8%d1%81%d1%82%d0%b0%20%d0%a1%d0%bf%d0%b0%d1%81%d0%b8%d1%82%d0%b5%d0%bb%d1%8f% 20%d0%b8%20%d0%9c%d0%b0%d1%82%d1%8c%20%d1%81%d1%8b%d1%80%d0%b0%20%d0%97%d0%b5%d0%bc%d0%bb%d1%8f%20%d0%b5%d0%b2%d1%80%d0%b5%d0%b8 http://muzbaron.com/dll/%d0%90%d0%bd%d1%81%d0%b0%d0%bc%d0%b1%d0%bb%d1%8c%20%d0%a5%d1%80%d0%b8%d1%81%d1%82%d0%b0%20%d0%a1%d0%bf%d0%b0%d1%81%d0%b8%d1%82%d0%b5%d0%bb%d1%8f% 20%d0%b8%20%d0%9c%d0%b0%d1%82%d1%8c%20%d0%a1%d1%8b%d1%80%d0%b0%20%d0%97%d0%b5%d0%bc%d0%bb%d1%8f%20%d0%b5%d0%b2%d1%80%d0%b5%d0%b8, продолжительностью около 2 минут 3 секунд (",1,
643,"информационный материал «необходимость коловрата-свастики: как русских убивают в россии», размещенный в сети интернет на сайте s-mahat.ru (",1,
644,"информационный материал «коловрат - тотальная война» продолжительностью 7 мин. 45 сек., начинающийся со слов «это война!» и заканчивающийся словами «час последней схватки приближается, где нас гибель или свобода ждет», являющегося музыкальной композицией (аудиофайлом), в том числе его текстовый вариант (",1,
645,"информационный материал «достали меня эти хачики», размещенный на интернет – сайте http://vk.com/video221512614_170608203 (",1,
646,"информационный материал «белый букварь», распространенный в сети интернет на сайте http://talks.guns.ru (",1,
647,"информационный материал «банда москвы - пусть прольется кровь» продолжительностью 3 мин. 31 сек., начинающийся со слов «белая нация, новый поход. русская идея в наших головах живет» и заканчивающийся словами «пусть прольется кровь! мы ведь сильней, чем они!», являющегося музыкальной композицией (аудиофайлом), в том числе его текстовый вариант (",1,
648,"информационный материал - видеозапись под названием «камиль абу султан – о чеченцах. гражданин р. дагестан» (другое название - «камиль абу султан – о чеченцах»), продолжительностью 05 мин. 02 сек., на которой в кадре изображен мужчина с кавказской внешностью, сидящий в кресле и произносящий речь монологического характера, начинающуюся словами «…отрезок веков, времени это были кавказцы, их называют мамлюками, они правили,…», заканчивающуюся словам «…мы сегодня народ небольшой, нас миллион с копейками» (",1,
649,"информация, размещенная на сайте http://www.vk.com, а именно аудиозапись с заголовком «патрiоти – москаль не хоче мирно жить» длительностью 1 минута 23 секунды, сопровождающийся текстом музыкальной композиции (размещенные по ссылке электронного адреса: http://www.vk.com/audios166349043) (",1,
650,"книга «богоизлияние» /божественная поэзия матери мира (1990-2004 гг.)/ к.-м.: ид крипто логос, 2005 - 1 экземпляр",1,
651,"информационные материалы, размещенные турбановым в.в. в начале января 2015 года в информационно-телекоммуникационной сети интернет в социальной сети « » на странице под именем «валера турбанов» по электронному адресу: http://vk.com/id239430313, а именно: - графическое изображение - цветная иллюстрация-сцена из мультипликационного фильма: русская печка разговаривает с девочкой в сарафане и платке печке пририсованы нахмуренные брови, на её правой стене изображена свастика. вверху и внизу иллюстрации расположено высказывание, выполненное белым цветом надо больше евреев",1,
652,книга а.н. севостьянова «россия для русских!» третья сила: русский национализм на авансцене истории» под издательством «книжный мир» (,1,
653,"книга насира ибн хамада аль-аммара «дружба и непричастность в исламе» (саудовская аравия-баку: шарг-гарб, 1996) (",1,
654,"книга мустафы аль-буга, мухйи-д-дин мисту, «40 хадисов имама ан-навиви», казань, без года издания, 615 страниц (",1,
655,"книга михаэля лайтмана «каббала. тайное еврейское учение. часть x. плоды мудрости», изданная на русском языке в израиле в 1997 году (",1,
656,"книга левашова николая викторовича «россия в кривых зеркалах», размещенная в сети интернет по электронным адресам www.levashov.org, www.levashov.info, www.levashov.name (",1,
657,"книга кулиева э.р. «на пути к корану» - «абилов, зейналов и сыновья», 2003 г.(",1,
658,"книга кузнецова п.и. «7 голов и 10 рогов россии или последние доказательства свершающегося и завершающегося апокалипсиса», изданная гуп пензенской области «издательский дом «кузнецкий рабочий», 2007 г. (",1,
659,"книга из собраний сочинений саида нурси «рисале-и нур» «мунаджат (молитва). третий луч», 2002 год издания, перевод м.г. тамимдарова (",1,
660,"книга в.а. иванова, в.в. селиванова (в.а. истархова) «удар русских богов», 4-ое издание, изданное ооо «русская правда» в 2007 г. - 416 стр.» (",1,
661,"книга аш-шайх мухаммад ибн салах ибн усаймин «разъяснение основ веры. заметки об истинном вероучении», изданная министерством вакуфов призыва и наставления королевство саудовская аравия, напечатанная и опубликованная министерством 1423 год хиджры (",1,
662,"книга ас-салляби, али мухаммада «абу бакр ас-сыддик. первый праведный халиф» (перевод с арабского е. сорокоумовой, 2 издание, издательство м.: умма, 2012 год) (",1,
663,"книга абду-ль-азиз аль абдуль-ли-лятыф «правильное поведение и очищение души» издательство «мир», екатеринбург, 2009 г., 118 страниц (",1,
