,material
4897,"с женщиной в платке, сидящей за столом, произносящей слова «...батюшка это ты сказал, а славочка сказал бог никого не простит из принявших печать, вообще никого» ("
4898,"видеофайл «епископ диомид (чукотский). иеромонах анатолий шляхов» продолжительностью 24 минуты 55 секунд, начинающийся демонстрацией видеозаписи с мужчиной в религиозном облачении, который выполняет действия похожие на молитвенный жест, представляющий собой изображение креста движением кисти руки, произносящим слова «с праздником братья и сестры…» и заканчивающийся демонстрацией видеозаписи с мужчиной в религиозном облачении, который выполняет действия похожие на молитвенный жест, представляющий собой изображение креста движением кисти руки, произносящим слова «…с богом родные мои, с богом» ("
4899,"видеофайл «свиньи церковные хрюкают (полная версия). иеромонах антоний шляхов» продолжительностью 20 минут 17 секунд, начинающийся демонстрацией фрагмента художественного фильма с участием человека в образе черта и надписи «свиньи церковные хрюкают» и заканчивающийся демонстрацией изображения в виде белого листа на черном фоне с надписью черными буквами «всем жидам, независимо от пола, возраста и благосостояния, покинуть пределы российской империи (императрица елизавета 2-хii-1742г)» ("
4900,"видеоролик, продолжительностью 00 минут 31 секунда, в котором неустановленный подросток рассказывает стихотворение «россия, мачеха моя, за что не любишь ингуша?», и текст стихотворения, начинающийся со слов «россия, мачеха моя, за что не любишь ингуша?» и заканчивающийся словами «а для чеченца, ингуша россия мачеха всегда», размещенные в информационно-телекоммуникационной сети «интернет» ("
4901,"№ 1/47 от января 2019 года, № 3/49 от марта 2019 года, № 6/52 от июня 2019 года, № 7/53 от июля 2019 года, № 9/55 от октября 2019 года газеты «владимирская русь», формата а3 на 8 страницах каждая, отпечатанные в типографии оао «владимирская офсетная типография», общим тиражом 15000 экз» ("
4902,"аудиозапись т. муцураева «гелаевский спецназ» (начальные слова аудиозаписи: «идут бои, все будто сон…» конечные слова аудиозаписи: «но кто же сбил гелаевский спецназ…»), размещенная в сети интернет ("
4903,"аудиозапись т. муцураева «шамиль ведет отряд (начальные слова аудиозаписи: «горят дома, за залпом залп…», конечные слова аудиозаписи: «…шамиль домой ведет отряд…», размещенная в сети интернет ("
4904,"сайт русской республики русь- www.rr-rus.ru и информация, размещенная на нем ("
4905,"видеозапись под названием «ансамбль христа спасителя – убей …» продолжительностью 3 минуты 54 секунды, начинающаяся словами «все мы любим президента. всем он снится нам во сне…» и заканчивающаяся словами «… убей … . ну кто же, кто его убьет? незаконное тиражирование не благословляется» ("
4906,"видеоматериал под названием « «» под музыку киборг – евпатий коловрат. picrolla», продолжительностью 4 минуты 50 секунд и 4 минуты 51 секунда, начинающийся словами «черные дни настают для руси...» и заканчивающийся словами: « ...героев руси собирает набат», размещенный в сети «интернет» ("
4907,"видеоматериал под названием «скин скины, скинхеды, анти антифа, русские, русский марш, славянский союз, сс, нс, фашизм, нацизм, национализм, skinhead,...», начинающийся словами: «нет деградации, национал-социализм...», продолжительностью 5 минут 00 секунд, размещенный в сети «интернет» ("
4908,"аудиозапись и текст песни группы «маррадёры» под названием «маррадёры-православный джихад» («православный джихад») длительностью 2 минуты 38 секунд, начинающаяся со слов «только ненависть» и заканчивающаяся словами «ваши души погружаются во мрак», размещенная в информационно-телекоммуникационной сети «интернет» ("
4909,"аудиозапись (музыкальная композиция) «ничего хорошего-молотов коктейль» (nothing gold – molotov), начинающаяся словами «мне вчера приснился ночью долгожданный сон» и заканчивающаяся словами «…я отвечаю так на вызовы системы», размещенный в социальной сети « » сети интернет ("
4910,"текст песни исполнителя «злой ой!» под названием «убей бабу» и аудиозапись с ее исполнением, продолжительностью 01 мин. 41 сек. ("
4911,"книга «ценой свободы 2», автор кирилл риддик, начинающаяся словами: «из по покрова тьмы ночной…», заканчивающаяся словами: «…признателен за вклад каждого из вас!» ("
4912,"видеоролик под названием «обращение к силовикам», продолжительностью 13 мин. 18 сек., содержащий изображение человека в маске, субтитры, начинающиеся словами «обращение к силовикам: полиции, росгвардии, армии, казачеству» и заканчивающиеся словами «почта для связи: silavpravde@protonmail.com», а также фонограмма, на которой зафиксирована устная речь лица с мужским типом голоса, начинающаяся словами «начну со слов полковника владимира васильевича квачкова, сказанных когда он был на свободе, ветераном боевых действий вдв и спецназа гру, которые можно адресовать всем силовикам» и заканчивающаяся словами «именно от распространенности идеи народного порядка будет зависеть молниеносность народно-освободительных действий. спасибо за внимание» ("
4913,"аудиофайл «монгол шуудан – бей жидов – спасай россию!», размещенный 05 мая 2010 г., продолжительностью 01 минута 41 секунда"
4914,произведенная и распространенная неустановленным лицом на интернет-сайте http://haile-rastafari.livejournal.com/46724.html (
4915,«правильная речь. слово к народу русскому»
4916,"«кавказцы против скинов», размером 11,4 мб, общей продолжительностью 04 минуты 23 секунды"
4917,"книга «богоизлияние» /божественная поэзия матери мира (1990-2004 гг.)/ к.-м.: ид крипто логос, 2005 - 1 экземпляр"
4918,видеозапись «ну и чё после просмотра вы будете против скинхедов?»
4919,«за будущее белых детей! против ублюдочного смешения»
4920,видеофайл «чеченцы.flv»
4921,«русские волки казнят наркоторговцев» продолжительностью 1 минута 39 секунд
4922,"изображение адольфа гитлера с текстом «я жив, загляни в свое сердце, я там», а также стих перед изображением следующего содержания: «гитлер к нам приходит! гитлер к нам приходит! веселье приносит и запах бодрящий, сожженного жида прах настоящий!»"
4923,«8dd7b0a353.360. дханнетабдурахманова..mp4»
4924,"и видеоматериалы: «россия для русских. mp4», «бухенвальд флава-7oi круг ада (ультра правые текста от футбольных хулиганов). mp4», «россия для русских отряд 1488. mp4», «словянский союз!. mp4», «россия для русских2. mp4», «россия для русских, москва для москвичей, африка для негров, помойка для хачей.. mp4» ("
4925,видеоролик «обращение амира хизб-ут-тахрир ата абы рашты к жителям шама»)
4926,"книга из собрания сочинения «рисале-и нур» путеводитель для молодежи» бадиуззаман саид нурси на русском языке, 2005 года издания, перевод с турецкого галимова т.н., тамимдарова м.г., абдуллаева м.ш., отпечатано в открытом акционерном обществе «можайский полиграфкомбинат», на 222 страницах"
4927,"текстовое сообщение под заголовком «чужак убил русского, обвинили русских», размещенное в информационно-телекоммуникационной сети «интернет» по адресу http://www.ataka.ws/read/news/chuzhak-ubil-russkogo-obvinili-russkih.html"
4928,"акустическое сопровождение и комментарий пользователя видеофайла под названием «русский, очнись! против тебя идет война!»"
4929,"печей для сжигания тел с подписью «элитное жилье для евреев, гитлер умел решать квартирные вопросы"
4930,"- изображение, содержащее образ представителя еврейской национальности, семиконечный подсвечник и надпись «зомбирование людей славяне"
4931,"- «format-18 казнь.mp4» – видеофонограмма продолжительностью 03 мин. 26 сек. на видео демонстрируется сцена ритуальной казни через повешение с использованием символики ку-клукс-клана: горящий крест, традиционные костюмы – белые мантии, белые остроконечные колпаки и маски, полностью скрывающие лицо"
4932,"- «сибирские революционеры: «наша цель – халифат!», продолжительностью 03 минуты 17 секунд"
4933,изд. 2011. watchtower bible and tract society of pennsylvania 2011 wachtturm bidel – und traktat-gesellschaft der zeuger jehovas.  
4934,"2. перепост, начинающийся словом «крещение?» и заканчивающийся словом «...богов.»"
4935,"2. фотография объявления с текстом «не уважаемые чурки!!! во избежание получения пи...дюлей просьба, не устраивать национальные пляски в этом районе. ибо не ..уй! танцевать «лезгинку» на русской земле!!!»"
4936,"- фотография рисунка, на котором изображен мужчина с обритой наголо головой, держащий в руках оружие в футболке с кельтским крестом и надписью под изображением: «помни, ты всегда прав!»"
4937,"графическое изображение - измененное изображение плаката 1944 года «мы отстояли ленинград - мы восстановим его!». на фоне панорамы города изображена девушка славянской внешности, в рабочей одежде, с мастерком в правой руке, левой указывающая в сторону. над девушкой развивается российский триколор, на котором расположена выполненная черным цветом надпись «это россия, а не кишлак внизу на изображении - надпись белого цвета вали на родину ишак» ("
4938,"аудиофайл «спец школа – х…й ментам, зиг хайль скинам!», размещенный 05 мая 2010 г., продолжительностью 01 минута 20 секунд"
4939,«припомним жуликам и ворам их манифест-2002»
4940,"«аллаху акбар!!!!!!!», размером 5,29 мб, общей продолжительностью 03 минуты 49 секунд, размещенные исаевым т.щ. на его странице «нежданчик-kavkaz-солнечный» в социальной сети « » ("
4941,"книга «наука о свете и его трансформации», - новая редакция, - к.-м.: «крипто-логос», 2003. 352 с, илл, - 1 экземпляр"
4942,видеозапись «белые войны»
4943,«кто-то болен толерантностью я здоров национализмом!»
4944,видеофайл «про чеченцев.flv»
4945,«детский лепет чурки – больше не буду братва…» продолжительностью 0 минут 53 секунды
4946,изображение с текстом «нельзя просто так взять и не оскорбить еврея»
4947,"«43саеf834с.360.обращение сестры перед операцией истишхада (самопожертвования), вилайят дагестан,.mp4»"
4948,видеоролик «почему они обвиняют хизб-ут-тахрир в экстремизме?»)
4949,"брошюра из собрания сочинения «рисале-и нур» «мудрость болезни» бадиуззаман саид нурси на русском языке, 2012 года издания, стамбул, на 80 страницах"
4950,текстовое сообщение под заголовком «русские не сдаются!»
4951,аудиофайл «банда москвы – арийский легион»
4952,"рисунок крокодила, проглатывающего человека, похожего на хасида с надписью «holacoste»"
4953,"если вы немного приоткроете глаза, то вы увидите, кому принадлежат все банки и сми"
4954,"- «ку-клус-клан» (россисты).mp4» – видеофонограмма продолжительностью 5 мин. 54 сек. в нижнем левом игру кадра присутствует эмблема канала с надписью «kavkaz.tv», информационная плашка с надписью «обыкновенный русизм russian racists». в ролике русские, белые представлены как источник угрозы, опасности (терроризируют) по отношении к населению не русской национальности россии, которые при этом остаются безнаказанными за совершение насильственных действий. закадровое музыкальное сопровождение видеоролика состоит из гимна россии и мелодии ламбады"
4955,"- «обращение сирийских повстанцев к хизб ут-тахрир», продолжительностью 02 минуты 36 секунд"
4956,selters/taunus; - «музыка как она влияет на вас?»
4957,"3. фото в стиле демотиватора с изображением александра невзорова и подписью, начинающейся словом «духовность» и заканчивающейся словом «...отверстий»"
4958,"3. изображение в виде страницы из книги с текстом и рисунком адольфа гитлера, сидящего за столом с детьми"
4959,"- фотография рисунка, окружности с широким кольцом, в границах которого размещена надпись: «накорми шафку асфальтом»"
4960,"видеофайл «мы здесь на своей земле», размещенный 10 сентября 2012 г., продолжительностью 04 минуты 47 секунд ("
4961,«путин открыл войскам нато границы россии»
4962,журналы «юсмалос. великое белое братство юсмалос»:
4963,видеозапись «москва 11.12.2010. манежная площадь. клип...»
4964,"«можете называть нас фашистами, идиоты»"
4965,видеофайл «наш путь джихад…mp4»
4966,«проклятые чурки они должны ответить за все!!!» продолжительностью 1 минута 44 секунды
4967,"изображение адольфа гитлера с текстом «убить всех чурок нереально, но я мечту свою лелея, решил по жизни жечь евреев»"
4968,«7034f22fb7.360.истишхад – стремление к шахаде саид бурятский. mp4»
4969,видеоролик «обращение амира хизб-ут-тахрир ата ибн халиль абу ар-рашт…»)
4970,"брошюра из собрания сочинения «рисале-и нур» «прелести веры и прогресс человека» бадиуззаман саид нурси на русском языке, 2012 года издания, стамбул, на 95 страницах ("
4971,размещенное в информационно-телекоммуникационной сети «интернет» по адресу: http://www.ataka.ws/read/news/russkie-ne-sdayutsja.html
4972,аудиофайл «коловрат – наша страна»
4973,"рисунок в примитивистском стиле, изображающий человека, танцующего на фоне костра со словами «конфетки, барааночки!», рядом стоит другой человек, произносящий: «весело же ему». заголовок рисунка «положу в костер еврея, ему там будет веселее!»"
4974,"кто занимает все руководящие посты во всех научных, исторических, исследовательских и др. организациях, и может тогда поймете насколько правдивой информацией вы владеете, чьи интересы она внушает и против кого направлена! люди очнитесь!!!»"
4975,"- «лихие 90-е скинхеды.mp4» – видеофонограмма продолжительностью 02 мин. 01 сек. видеоролик содержит сцену разгрома продуктового рынка толпой скинхедов – бритоголовых мужчин с битами. толпа несет транспаранты, в том числе с надписью «россия для русских»"
4976,"- «обращение революционеров сирии к хизб ут-тахрир», продолжительностью 03 минуты 25 секунд"
4977,изд. 2011. watchtower bible and tract society of pennsylvania 2011 wachtturm bidel – und traktat-gesellschaft der zeuger jehovas.  
4978,"4. фотография обнаженной женщины, на которой в стиле боди-арт нарисовано изображение христа, при этом лобковое оволосенение совмещено с изображением бороды и усов христа"
4979,"4. изображение (демотиватор) 4 глав ссср и россии с измененными фамилиями, с надписью снизу «там, где жиды, всегда жди беды! русская мудрость»"
4980,"- фотография рисунка, на котором изображен черный орел, смотрящий на свое левое плечо со свастикой в центре"
4981,"«россия для русских, а русские для россии»"
4982,видеозапись «язычество»
4983,«выгнали немецких аккупантов выгоним и еврейских!»
4984,видеофайл «кавказцы против скинов»
4985,"текст и визуальные объекты, содержащие информацию, направленную на возбуждение ненависти и вражды, унижения человеческого достоинства по национальному признаку ("
4986,«08353а5с92.360. муджахиды влесу. mp4»
4987,видеоролик «обращение амира хизба к сирийцам»)
4988,текстовое сообщение под заголовком «после марша – в атаку!»
4989,аудиофайл «xopss-action»
4990,"фотографию гитлера, сопровождаемую текстом «сжечь все на свете нереально, но я, мечту свою лелея, решу проблему гениально – я отыграюсь на евреях»"
4991,"- изображение, содержащее половину фотографии грызуна и надпись «+1 иммигрант это: –1 место в детском саду –1 место в школе –1 место в институте –1 рабочее место –1 место на дороге –1 место на стоянке –1 место в транспорте –1 место в больнице –1 квартира –1 твое место»"
4992,"- «омские скинхеды. .mp4» – видеофонограмма продолжительностью 00 мин. 27 сек. видеоролик содержит сцену избиения группой лиц мужчины так называемой неславянской внешности. за кадром звучит песня на русском языке в мужском исполнении. в тексте песни содержатся призывы и побуждения к насильственным действиям в отношении «небелых» как к группе лиц, выделяемых по расовому признаку"
4993,"- «обращение амира хизба ата абу ар-ришта к сирийцам», продолжительностью 14 минут 41 секунда"
4994,selters/taunus.; - «терроризм в чем его причина? когда с ним будет покончено?»
4995,5. фотография мусульманской святыни каабы во время хаджа. на нее сверху пикирует самолет с логотипом иранских авиалиний на хвостовой части
4996,"5. изображение, разделенное на 4 части, в каждой части имеется отдельная фотография человека, похожего на адольфа гитлера перед строем. на изображении имеется надпись «а вот интересно, почему на руси не было евреев? и почему? потому что в каждом доме была печь»"
4997,"- фотография рисунка, на котором изображен человек в маске, стоящий на фоне кельтского креста, целящийся в зрителя из двух пистолетов, в верхней части изображения надпись: «ярусский», в нижней «иммигрант с кавказа! ты следующий!»"
4998,«русмарш»
4999,видеозапись «скинхеды сжигают общагу чеченов»
5000,аудиозапись «дюшес я рисую белым мелом 14/88»
5001,"видеофайл «нашид - мы муджахеды, войско аллаха.mp4»"
5002,«b2ed 1 b3dec 1d-94304087.vk. кто эти мужчины муджахеды!.flv» (
5003,"видеоролик «jicmi 2013. выступление османа баххаша, руководитель цмо хизб-ут-тахрир»)"
5004,размещенное в информационно-телекоммуникационной сети «интернет» по адресу: http://www.ataka.ws/read/news/posle-marsha-v-ataku.html
5005,аудиофайл «див – давай на рынок»
5006,"фотографию человека с признаками иудея (кипу, пейсы), садящегося в автобус с конечной остановкой «oswiecim» подпись под изображением «горячая путевка» ("
5007,"- изображение, на котором имеется фотография мужчины, замахивающегося, чтобы кинуть кирпич, находящийся у него в руке. на фотографии присутствует надпись «ё..и (нецензурное слово) бабу кирпичом, если спит она с хачом»"
5008,- «правые ребята (далее следует нецензурное выражение) таджиков. .mp4» – видеофонограмма продолжительностью 00 мин. 31 сек. видеоролик содержит сцену избиения группой лиц двух мужчин неславянской внешности в городском парке. одним из нападавших выкрикивается лозунг «россия для русских!»
5009,"- «воззвание к исламской умме 2», продолжительностью 41 минуту 53 секунды"
5010,изд. 2011. watcher bible and tract society of pennsylvania 2011 wachytturm bibelund traktat-gesellschaft der zeuger jehovas
5011,"6. фотография в стиле демотиватора. крупным планом изображен полумесяц, закрепленный в верхней части конусообразного сооружения. подпись, начинающаяся словом «фашизм» и заканчивающаяся словом «...лицо» ("
5012,"6. изображение (демотиватор) группы молодых людей с признаками скинхедов и подписью: «не плачь отец твой сын скинхед. пусть плачет тот, чей сын ахмед»"
5013,"- фотография рисунка, на котором изображен мужчина в черной маске с поднятой на 45 градусов правой рукой, в правом верхнем углу размещена правосторонняя свастика, в нижней части размещена надпись: «хач! ты сука» «пошел на х…й из россии» ("
5014,«сборы русских националистов»
5015,видеозапись «скинхеды бьют кавказца за дело»
5016,видеозаписи: «ох… чурки»
5017,аудиофайл «даги - республика кавказа.mp3»
5018,видеоролик «послание от шейха хасан аль-джунейн к амиру хизб ут-тахрир»)
5019,"текстовое сообщение под заголовком «сын цыганского наркобарона убил боксера», размещенное в информационно-телекоммуникационной сети «интернет» по адресу: http://www.ataka.ws/read/news/syn-cyganskogo-narkobarona-ubil-boksera.html"
5020,аудиофайл «киборг – наш враг!!!»
5021,"- изображение, содержащее женщину – каменщицу на фоне бело-сине-красного флага. на изображении присутствует надпись «это россия, а не кишлак вали на родину ишак»"
5022,- «скинхеди..mp4» – видеофонограмма продолжительностью 00 мин. 33 сек. видеоролик содержит сцену избиения группой лиц мужчины неславянской внешности. начальная заставка включает статическое изображение гитлера с текстовой надписью «format18.» за кадром звучит песня на русском языке в мужском и женском исполнении. завершающая заставка содержит изображение-эмблему (кельтский крест с надписью «white pride world wide»)
5023,"- «обращение амира хизба к сирийцам», продолжительностью 14 минут 52 секунды"
5024, 
5025,"7. изображение (демотиватор) двоих десантников, держащих арбузы и надписью: «зачем покупать арбузы у чурок? бери бесплатно!»: 8. изображение четырех обезьянок с ложками на фоне изображения гор и надписью: «хватит кормить кавказ!»"
5026,«это видео (кондопога) запрещено к показу фсб» (
5027,видеозапись «челябинск»
5028,«формат 18 казнь таджикского наркоторговца»
5029,"аудиофайл «кавказ -кавказ, горячая кровь течёт.mp3»"
5030,видеоролик «речь амира хизб ут-тахрир – ата абу ар-рашта»)
5031,"текстовое сообщение под заголовком «дружба народов» по-нашему», размещенное в информационно-телекоммуникационной сети «интернет» по адресу: http://www.ataka.ws/read/analytics/-druzhba-narodov-po-nashemu.html"
5032,аудиофайл «ультиматум – последний бой»
5033,"- изображение, на котором содержится типичное лицо кавказской национальности, помещенное в стилизованный запрещающий знак. на изображении присутствует надпись «не покупай у них ничего! не сдавай им жилье! не продавать им ничего! не пользоваться никакими услугами от них! не предоставлять им никаких услуг, даже за деньги! не брать их на работу! не идти работать к ним! не поддерживать отношения с ними! никак и нигде им не содействовать! вернем нашу землю себе! не уставайте разъяснять это всем, кого знаете, убеждайте и требуйте. они пользуются нашей добротой, и входят в нашу страну, как нож в масло. и противопоставить этому вторжению мы можем только свою солидарность и единство действий» ("
5034,"- «скинхеды (далее следует нецензурное выражение) хачей….mp4» – видеофонограмма продолжительностью 02 мин. 39 сек. видеоролик начинается заставкой с изображением гитлера и надписью «format18». далее «закольцованный» видеоряд, заключающий в себе контраст: изображение девушки в березовой роще, сменяющийся сценой избиения группой лиц мужчин неславянской внешности. завершающая заставка – надпись «оставайся белым 14 88 www.format18.org» на бело-желто-черном фоне"
5035,"- «отряд «требующие халифата» присоединился к договору о халифате», продолжительностью 02 минуты 44 секунды"
5036,selters/taunus.; - «иисус откуда он пришел? как он жил? почему он умер?»
5037,9. изображение вывески с текстом: «мангалы уголь жид.для розжига»
5038,видеозапись «о толерантности»
5039,«банды москвы - виват
5040,видеофайл «кавказ горячая кровь.flv»
5041,(видеоролик «амир хизб ут-тахрир ата абу ар-рашта») (
5042,"текстовое сообщение под заголовком «москва захвачена чужаками», размещенное в информационно-телекоммуникационной сети «интернет» по адресу: http://www.ataka.ws/read/developments/moskva-zahvachena-chuzhakami.html"
5043,аудиофайл «гипоталамус – слава россии»
5044,"- «скинхеды!..mp4» – видеофонограмма продолжительность 04 мин. 09 сек. видеоролик начинается заставкой - статическим изображением латника, на щите которого – свастика, а на древке стяга – имперский орел. под изображением расположена надпись: «кто видит в национал-социализме только политическое движение, тот вообще ничего в нем не понимает.» (адольф гитлер). за кадром звучит песня на русском языке в мужском исполнении. текст песни сопровождается видеорядом, на котором зафиксированы сцены избиения лиц неславянской внешности"
5045,"- «шам на пути к свободе», продолжительностью 07 минут 41 секунда"
5046,изд. 2011. watchtower bibel and tract society of pennsylvania 2011 wachtturm bibelund traktat-gesellschaft der zeugen jehovas
5047,"10. изображение, разделенное на 4 части, в каждой части имеется отдельная фотография в.в. жириновского. на изображении имеется надпись: там чурку отпи...дили"
5048,"фотографию в виде изображения на фоне черного цвета денежной купюры старого образца номиналом 250 рублей, под которой имеется надпись «не любишь свастику? проваливай из россии»"
5049,1488-й после этого вы говорите о толерантности»
5050,видеофайл «vs_302_63aa80bd2778_5283720.vk.flv» («кавказ vs скинхед»)
5051,"текстовое сообщение под заголовком «война на улицах петербурга», размещенное в информационно-телекоммуникационной сети «интернет» по адресу: http://www.ataka.ws/read/news/voina-na-ulicah-peterburga.html"
5052,аудиофайл «нс – контроль – честь и верность»
5053,"- «убийство нелегала. формат 1488.mp4» – видеофонограмма продолжительностью 00 мин. 55 сек. заставка представляет собой чередующиеся статистические изображения гитлера с надписью format18 new, надпись volksturm на черно-желто-белом фоне. на видео зафиксирована сцена избиения мужчины группой лиц"
5054,"- «обращение абу фираса аль-халябий из алеппо, сирия» продолжительностью 03 минуты 50 секунд"
5055, 
5056,"тут хачу дали понять, где он находится"
5057,"фотографию с изображением квадрата красного цвета, на котором изображен человек в маске с автоматом в левой руке с свастическим знаком на левом предплечье с надписью «будущее принадлежит нам», на фоне черного цвета в нижней части содержится надпись «с пламенем в сердце и с битой в руках пойдем по россии в имперских флагах»"
5058,«тесак»
5059,видеофайл djkmybr_1_c98895373505_117304643.vk.flv» («вольник»)
5060,"текстовое сообщение под заголовком «битва за жизнь», размещенное в информационно-телекоммуникационной сети «интернет» по адресу: http://www.ataka.ws/work/actions/bitva-za-zhizn.html ("
5061,аудиофайл «киборг – ненависть»
5062,"2. визуальные изображения, состоящие из рисунков, фотографий и текста: - изображение гитлера на фоне марширующей колонны и флага с нацисткой (фашистской) свастикой"
5063,- «обращение командира отряда «мухаммад аль-амин» продолжительностью 02 минуты 40 секунд
5064,selters/taunus.; - «как сохранить счастье в браке?» изд. 2011. watchtower bible and tract society of pennsylvania 2011 wachtturm bibel-und traktat-gesellschaft der zeuger jehovas
5065,этого вообще в вагоне застрелили
5066,"фотографию с изображением на фоне серого и белого цветов по центру свастического знака, над которым имеется надпись, выполненная буквами красного цвета «наш путь», содержится цитата из книги а. гитлера «майн кампф»: «мы национал-социалисты, как борцы за новое мироздание, никогда не должны становиться на пресловутую «почву фактов», да к тому же еще фактов фальшивых. иначе мы были бы не борцами за новую великую идею, а жалкими рабами современной лжи. мы должны научиться строжайше различать между государством как известным сосудом и расой как содержимым этого сосуда. сосуд этот вообще имеет какой бы то ни было смысл лишь тогда, когда он действительно имеет возможность сохранить и защитить содержимое. в ином случае сосуд этот ничего не стоит»"
5067,«большая мышеловка (формат 18)»
5068,видеофайл «дербентский джамаат (1).mp4»
5069,аудиофайл «киборг – слава россии»
5070,- изображение гитлера и нацисткой (фашисткой) свастики на черном фоне
